thumb,index,pinky,target
67,73,70,y
68,84,70,y
68,79,69,y
68,76,69,y
68,77,69,y
67,72,69,y
66,71,70,y
66,71,69,y
69,82,69,y
67,71,69,y
68,76,69,y
68,77,70,y
67,68,69,y
67,73,69,y
68,78,70,y
68,77,69,y
67,71,69,y
67,75,69,y
66,71,69,y
71,82,69,y
68,75,69,y
70,78,69,y
67,69,69,y
68,73,70,y
68,77,69,y
68,75,69,y
66,72,69,y
68,82,69,y
68,82,69,y
65,70,68,y
67,71,70,d
65,66,69,d
68,72,69,d
69,73,70,d
67,69,69,d
66,67,69,d
66,68,69,d
69,74,70,d
69,73,70,d
67,69,69,d
68,73,69,d
68,72,69,d
68,71,69,d
66,67,68,d
68,73,69,d
66,66,68,d
67,69,69,d
66,67,69,d
69,72,69,d
67,69,69,d
72,73,69,d
69,74,69,d
67,67,68,d
69,71,69,d
67,66,68,d
68,67,69,d
68,69,69,d
69,71,69,d
69,71,69,d
69,70,69,d
69,72,69,d
67,67,68,d
68,69,69,d
70,74,69,d
70,74,69,d
68,67,69,d
69,67,72,d
68,66,71,d
70,69,72,d
67,68,72,l
68,72,73,l
65,65,71,l
66,67,71,l
68,75,72,l
67,69,72,l
69,73,72,l
69,73,72,l
66,66,71,l
68,72,72,l
66,67,71,l
69,74,72,l
67,69,71,l
68,72,72,l
67,69,71,l
66,66,71,l
67,70,72,l
69,74,72,l
66,65,71,l
65,65,72,l
66,67,72,l
66,66,72,l
66,67,72,l
67,70,72,l
69,74,72,l
68,69,72,l
69,75,72,l
66,67,72,l
67,70,72,l
68,71,72,l
66,66,72,l
67,69,72,l
69,73,72,l
68,73,72,l
67,70,72,l
68,69,72,l
69,72,72,l
67,68,72,l
66,66,71,l
73,69,68,b
76,73,68,b
73,69,68,b
72,68,68,b
74,70,68,b
75,73,69,b
73,68,68,b
72,69,68,b
72,68,68,b
74,70,68,b
75,73,69,b
73,70,68,b
75,73,69,b
74,71,69,b
73,70,68,b
72,68,68,b
72,69,68,b
73,69,68,b
72,69,68,b
73,69,68,b
75,73,69,b
76,73,69,b
72,68,68,b
73,71,69,b
74,70,69,b
74,71,69,b
74,71,68,b
72,69,68,b
72,68,68,b
72,70,68,b
73,71,68,b
74,73,68,b
72,70,68,b
73,64,67,b
72,69,68,b
73,72,69,b
73,72,69,b
74,73,69,b
72,70,69,b
71,67,68,b
71,70,68,b
73,72,69,b
71,75,70,c
70,73,73,c
69,75,73,c
69,74,73,c
71,79,73,c
69,74,74,c
70,74,73,c
71,79,73,c
71,78,73,c
70,75,73,c
69,74,73,c
70,76,73,c
71,79,73,c
70,77,73,c
71,79,73,c
71,79,73,c
70,76,73,c
70,73,75,c
70,74,72,c
71,77,73,c
72,79,73,c
70,75,73,c
70,75,72,c
72,77,73,c
70,72,70,c
69,72,72,c
71,77,76,c
71,76,72,c
69,72,72,c
70,73,72,c
70,76,72,c
71,77,72,c
71,77,73,c
70,74,72,c
70,73,72,c
69,72,72,c